Student_ID,Gender,Age,Education_Level,Employment_Status,City,Device_Type,Internet_Connection_Quality,Course_ID,Course_Name,Category,Course_Level,Course_Duration_Days,Instructor_Rating,Login_Frequency,Average_Session_Duration_Min,Video_Completion_Rate,Discussion_Participation,Time_Spent_Hours,Days_Since_Last_Login,Notifications_Checked,Peer_Interaction_Score,Assignments_Submitted,Assignments_Missed,Quiz_Attempts,Quiz_Score_Avg,Project_Grade,Progress_Percentage,Rewatch_Count,Enrollment_Date,Payment_Mode,Fee_Paid,Discount_Used,Payment_Amount,App_Usage_Percentage,Reminder_Emails_Clicked,Support_Tickets_Raised,Satisfaction_Rating,Completed,Assignment_Submission_Rate
STU100010,Female,31,Bachelor,Student,Ahmedabad,Mobile,Medium,C107,Statistics for Data Science,Math,Intermediate,50,4.2,6,38.0,82.9,2,4.2,3,1,4.9,3,7,4,58.6,100.0,52.0,2,2025-11-07,UPI,1,0,4631.0,88.0,4,0,3.8,1,30.0
STU100011,Male,21,Master,Student,Pune,Mobile,Medium,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,4,28.0,64.3,3,2.9,2,3,3.2,5,5,2,82.1,54.6,55.2,0,2023-02-12,Scholarship,0,0,2693.0,60.0,3,1,4.6,0,50.0
STU100012,Female,28,Master,Student,Ahmedabad,Mobile,High,C108,Excel for Business,Business,Beginner,25,4.1,6,30.0,53.5,4,13.4,3,6,6.7,3,6,3,81.5,76.7,40.6,2,2024-11-06,Credit Card,1,0,3408.0,100.0,0,2,5.0,1,33.33
STU100013,Female,24,Master,Student,Ahmedabad,Mobile,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,5,21.0,88.2,2,9.2,5,4,7.0,5,5,7,73.3,66.4,64.2,2,,Credit Card,1,0,3153.0,88.0,2,1,5.0,1,50.0
STU100014,Male,19,Diploma,Employed,Hyderabad,Mobile,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,23.0,73.8,3,0.5,11,4,10.0,2,8,4,58.3,61.4,40.9,3,,NetBanking,1,0,4525.0,60.0,1,1,3.6,0,20.0
STU100015,Male,26,Diploma,Employed,Lucknow,Mobile,Low,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,20.0,92.4,2,10.5,4,5,6.4,5,5,5,68.2,68.9,65.8,2,,Free,0,0,0.0,32.0,1,0,4.2,1,50.0
STU100016,Female,32,Bachelor,Student,Chennai,Mobile,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,6,34.0,83.5,1,3.5,5,5,4.7,5,4,2,100.0,80.4,63.3,0,2025-02-08,Debit Card,1,0,4834.0,40.0,2,1,3.8,1,55.56
STU100017,Female,29,Bachelor,Employed,Lucknow,Mobile,Low,C103,Introduction to AI,Programming,Intermediate,75,4.5,6,44.0,55.6,2,9.8,1,5,7.9,2,8,8,74.1,69.0,34.9,1,,UPI,1,0,5565.0,59.0,1,0,5.0,1,20.0
STU100018,Female,27,Bachelor,Student,Mumbai,Laptop,Low,C107,Statistics for Data Science,Math,Intermediate,50,4.2,9,58.0,89.5,1,0.5,2,3,2.7,4,6,6,60.7,53.4,58.0,5,,UPI,1,1,3611.0,77.0,2,0,4.0,0,40.0
STU100019,Female,28,Bachelor,Student,Pune,Mobile,Medium,C108,Excel for Business,Business,Beginner,25,4.1,4,27.0,48.4,0,7.2,2,4,7.7,2,8,6,59.9,76.4,32.8,8,,Free,0,1,0.0,61.0,2,1,5.0,1,20.0
STU100020,Female,26,HighSchool,Student,Lucknow,Laptop,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,7,42.0,66.1,4,6.3,2,5,7.8,9,1,7,74.4,57.3,80.0,3,2025-05-08,NetBanking,1,0,3341.0,70.0,4,1,5.0,1,90.0
STU100021,Male,26,Bachelor,Employed,Ahmedabad,Mobile,High,C101,Python Basics,Programming,Beginner,45,4.6,8,34.0,86.3,2,4.3,5,4,5.6,2,8,6,71.0,51.8,44.8,2,,Debit Card,1,0,4422.0,66.0,1,0,3.4,1,20.0
STU100022,Male,24,Diploma,Employed,Indore,Laptop,High,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,2,34.0,47.2,5,0.5,18,6,3.9,6,4,6,63.6,74.2,56.2,0,2025-05-06,UPI,1,0,3970.0,46.0,4,1,2.8,0,60.0
STU100023,Female,17,Bachelor,Unemployed,Pune,Mobile,Medium,C108,Excel for Business,Business,Beginner,25,4.1,5,36.0,49.1,2,1.1,1,6,6.1,3,7,3,77.5,43.5,37.4,2,2024-06-03,UPI,1,1,2893.0,59.0,5,0,3.9,1,30.0
STU100024,Female,25,Master,Student,Delhi,Mobile,Low,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,4,32.0,49.7,1,0.5,0,5,4.6,6,4,8,91.2,66.2,56.7,1,2024-06-02,NetBanking,1,0,6696.0,74.0,0,2,4.0,0,60.0
STU100025,Female,35,Master,Student,Bengaluru,Mobile,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,7,35.0,87.1,2,0.5,2,5,8.7,5,5,1,73.1,51.2,63.1,7,,UPI,1,1,3937.0,38.0,3,1,4.3,1,50.0
STU100026,Male,31,Bachelor,Student,Chennai,Laptop,High,C103,Introduction to AI,Programming,Intermediate,75,4.5,4,39.0,22.2,3,3.7,9,6,4.8,5,5,5,64.3,62.8,40.9,1,2025-07-02,NetBanking,1,0,5849.0,93.0,2,0,5.0,0,50.0
STU100027,Male,34,Bachelor,Self-Employed,Surat,Mobile,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,6,33.0,57.3,1,2.3,3,2,4.2,5,5,5,67.4,72.5,53.7,2,,Debit Card,1,0,4207.0,100.0,1,1,5.0,1,50.0
STU100028,Female,22,Diploma,Self-Employed,Bhopal,Laptop,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,4,26.0,53.3,1,6.5,3,4,10.0,4,5,5,55.1,57.1,45.5,4,,UPI,1,0,3271.0,89.0,3,1,5.0,0,44.44
STU100029,Male,17,Diploma,Student,Ahmedabad,Mobile,Low,C103,Introduction to AI,Programming,Intermediate,75,4.5,6,33.0,23.6,2,0.5,0,4,5.0,3,7,2,66.7,69.0,29.7,3,,Debit Card,1,0,5325.0,67.0,2,0,5.0,0,30.0
STU100030,Female,25,Bachelor,Student,Bhopal,Mobile,High,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,4,34.0,95.4,1,12.6,0,8,5.0,6,4,2,86.0,67.2,72.7,5,2025-12-03,Debit Card,1,1,5787.0,87.0,2,0,3.9,1,60.0
STU100031,Male,17,Bachelor,Employed,Bhopal,Laptop,Medium,C101,Python Basics,Programming,Beginner,45,4.6,2,43.0,60.2,1,8.0,8,4,4.6,7,3,4,80.2,72.4,66.7,1,,Credit Card,1,0,4345.0,61.0,2,0,4.3,1,70.0
STU100032,Female,24,Master,Employed,Lucknow,Laptop,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,5,39.0,55.2,4,0.5,4,6,8.1,9,1,5,63.4,61.8,76.4,2,2024-07-05,Free,0,1,0.0,47.0,3,0,3.9,0,90.0
STU100033,Other,21,Bachelor,Employed,Vadodara,Mobile,Medium,C101,Python Basics,Programming,Beginner,45,4.6,3,13.0,70.4,1,0.5,7,6,3.8,1,9,5,64.5,48.8,33.1,0,2025-12-04,UPI,1,0,4450.0,25.0,4,1,4.9,0,10.0
STU100034,Female,18,Bachelor,Student,Hyderabad,Mobile,Low,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,5,44.0,51.8,1,1.0,0,7,7.8,7,3,1,87.3,54.4,62.9,2,2024-08-02,Free,0,0,0.0,51.0,1,1,4.3,0,70.0
STU100035,Male,27,Bachelor,Unemployed,Nagpur,Mobile,Medium,C107,Statistics for Data Science,Math,Intermediate,50,4.2,5,24.0,64.4,1,1.8,0,5,7.3,3,7,3,82.9,76.2,44.4,3,,UPI,1,0,4775.0,87.0,1,1,3.7,1,30.0
STU100036,Female,17,Master,Employed,Bhopal,Laptop,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,5,34.0,57.2,5,18.8,4,8,8.3,4,6,4,81.6,54.4,46.7,2,2024-05-01,Free,0,0,0.0,77.0,5,0,4.1,1,40.0
STU100037,Male,33,Bachelor,Employed,Kolkata,Mobile,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,8,53.0,69.8,2,0.5,9,3,10.0,5,5,6,77.7,94.4,59.2,1,,Free,0,0,0.0,51.0,5,0,4.9,0,50.0
STU100038,Female,29,Bachelor,Unemployed,Lucknow,Laptop,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,4,49.0,63.1,1,2.9,7,7,8.8,7,3,3,73.7,46.7,66.4,3,2025-01-05,UPI,1,0,3746.0,67.0,4,0,4.5,1,70.0
STU100039,Female,20,HighSchool,Unemployed,Surat,Laptop,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,6,50.0,64.2,3,9.8,4,7,5.4,6,4,2,78.4,67.8,61.8,2,,UPI,1,0,4054.0,29.0,0,0,5.0,1,60.0
STU100040,Female,28,Bachelor,Student,Surat,Laptop,Low,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,8,25.0,24.2,5,2.4,8,2,9.4,3,7,2,82.1,89.2,30.9,0,,UPI,1,0,7074.0,57.0,3,0,4.7,0,30.0
STU100041,Female,22,Master,Student,Ahmedabad,Mobile,Low,C103,Introduction to AI,Programming,Intermediate,75,4.5,2,17.0,65.6,3,1.0,10,7,6.9,7,3,5,76.4,51.9,67.6,1,2025-03-09,Free,0,0,0.0,60.0,1,1,3.7,1,70.0
STU100042,Male,31,Bachelor,Student,Bhopal,Tablet,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,5,40.0,72.2,2,2.8,7,10,7.0,6,4,7,87.6,65.5,64.6,1,,UPI,1,0,3540.0,62.0,2,0,4.3,1,60.0
STU100043,Other,27,Bachelor,Employed,Delhi,Mobile,Medium,C103,Introduction to AI,Programming,Intermediate,75,4.5,2,62.0,37.0,2,10.9,8,8,3.6,6,4,7,65.3,76.6,52.8,2,2025-10-06,Free,0,0,0.0,100.0,2,1,5.0,0,60.0
STU100044,Male,37,Bachelor,Employed,Jaipur,Mobile,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,4,27.0,61.6,1,4.4,12,6,2.8,2,8,3,51.6,66.7,36.9,1,,Debit Card,1,0,5207.0,79.0,0,0,2.9,1,20.0
STU100045,Male,30,Bachelor,Employed,Delhi,Mobile,Medium,C108,Excel for Business,Business,Beginner,25,4.1,6,33.0,48.1,3,9.5,13,5,4.8,5,5,2,66.5,57.0,49.7,2,,Free,0,1,0.0,67.0,2,0,3.1,0,50.0
STU100046,Male,27,Bachelor,Unemployed,Pune,Mobile,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,4,51.0,29.3,4,9.6,8,5,3.6,6,4,2,72.6,75.0,50.0,2,,Free,0,0,0.0,76.0,3,2,3.3,0,60.0
STU100047,Male,24,Bachelor,Student,Bengaluru,Mobile,Medium,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,4,21.0,54.7,3,0.5,3,9,8.0,7,3,1,83.9,73.4,64.8,2,,UPI,1,0,7116.0,100.0,1,3,3.0,1,70.0
STU100048,Male,25,Bachelor,Employed,Pune,Mobile,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,6,16.0,40.7,1,0.5,13,4,5.1,4,6,1,71.7,48.6,40.7,0,2024-06-12,Scholarship,0,0,714.0,100.0,2,0,3.8,0,40.0
STU100049,Male,17,HighSchool,Employed,Delhi,Tablet,High,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,5,17.0,80.4,6,2.2,31,5,4.3,5,5,1,77.4,48.0,60.5,3,,Credit Card,1,1,3387.0,79.0,1,0,4.7,0,50.0
STU100050,Male,22,Bachelor,Employed,Kolkata,Laptop,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,5,17.0,85.6,1,0.5,1,1,7.2,6,3,6,75.5,70.0,69.4,3,2023-11-12,Debit Card,1,1,3696.0,90.0,2,0,4.3,1,66.67
STU100051,Female,23,Bachelor,Employed,Chennai,Laptop,Medium,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,6,39.0,47.8,2,0.5,2,1,8.0,4,6,5,62.6,83.2,44.9,6,2024-05-02,Debit Card,1,0,6067.0,65.0,3,0,3.0,0,40.0
STU100052,Female,26,Bachelor,Student,Pune,Laptop,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,8,27.0,61.9,3,7.5,1,3,3.0,5,5,2,66.4,93.0,56.3,2,2024-08-03,Debit Card,1,0,3242.0,67.0,2,0,4.4,0,50.0
STU100053,Male,32,Master,Unemployed,Ahmedabad,Mobile,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,4,31.0,85.5,1,7.6,8,5,7.7,5,5,4,89.7,71.0,63.5,2,2024-02-01,UPI,1,0,3229.0,42.0,4,0,3.8,1,50.0
STU100054,Male,31,Master,Employed,Nagpur,Mobile,Low,C107,Statistics for Data Science,Math,Intermediate,50,4.2,3,46.0,57.2,1,7.4,7,3,5.2,4,6,2,69.6,38.3,45.9,2,,Free,0,1,0.0,74.0,2,0,3.3,0,40.0
STU100055,Female,17,Bachelor,Employed,Surat,Mobile,Medium,C107,Statistics for Data Science,Math,Intermediate,50,4.2,5,35.0,71.9,0,0.5,5,9,7.0,5,5,2,55.7,67.8,58.6,2,,Free,0,0,0.0,82.0,3,1,5.0,0,50.0
STU100056,Male,22,Bachelor,Student,Chennai,Mobile,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,3,32.0,88.3,1,0.5,6,6,10.0,6,4,7,92.9,69.5,70.4,2,,Free,0,0,0.0,54.0,5,1,3.5,1,60.0
STU100057,Male,26,Diploma,Student,Mumbai,Mobile,Medium,C101,Python Basics,Programming,Beginner,45,4.6,6,41.0,77.7,5,1.3,6,7,5.3,7,3,5,84.8,72.2,72.8,2,,Debit Card,1,0,4410.0,73.0,1,1,4.7,0,70.0
STU100058,Female,32,Bachelor,Student,Bhopal,Laptop,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,3,45.0,62.0,1,7.0,5,5,4.1,4,6,1,63.9,93.6,50.4,2,,UPI,1,0,4485.0,62.0,0,2,5.0,0,40.0
STU100059,Female,19,Bachelor,Employed,Indore,Laptop,Medium,C108,Excel for Business,Business,Beginner,25,4.1,8,36.0,76.0,1,0.5,2,5,6.7,4,6,6,67.2,50.3,53.1,2,2025-08-05,Debit Card,1,0,3355.0,50.0,3,0,3.4,1,40.0
STU100060,Male,24,Bachelor,Student,Pune,Laptop,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,9,29.0,56.0,2,7.4,2,2,7.4,6,4,1,94.4,81.5,59.7,1,,Free,0,0,0.0,98.0,7,1,4.7,0,60.0
STU100061,Female,28,Bachelor,Self-Employed,Surat,Tablet,Medium,C101,Python Basics,Programming,Beginner,45,4.6,4,48.0,38.3,3,2.4,2,3,4.8,4,6,1,87.4,68.4,40.8,5,2024-02-09,Credit Card,1,1,3664.0,90.0,2,1,3.3,0,40.0
STU100062,Female,27,Bachelor,Employed,Jaipur,Laptop,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,6,38.0,57.1,1,3.2,20,5,5.3,5,5,2,67.3,69.9,53.5,2,2025-12-04,UPI,1,0,3240.0,80.0,2,0,4.8,1,50.0
STU100063,Male,25,Bachelor,Employed,Surat,Laptop,Low,C101,Python Basics,Programming,Beginner,45,4.6,3,16.0,71.2,1,0.5,4,8,3.4,4,6,5,61.6,54.7,51.6,1,,UPI,1,0,3974.0,25.0,2,1,2.4,0,40.0
STU100064,Male,18,Bachelor,Student,Delhi,Mobile,High,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,6,48.0,56.7,3,0.6,1,3,7.1,5,5,3,80.0,82.9,54.0,0,,UPI,1,0,6159.0,69.0,4,1,3.8,0,50.0
STU100065,Male,26,Bachelor,Unemployed,Bhopal,Mobile,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,2,8.0,94.2,1,0.5,7,2,4.6,5,5,4,80.2,50.5,65.5,0,,Free,0,0,0.0,60.0,1,1,4.0,0,50.0
STU100066,Male,35,Bachelor,Employed,Jaipur,Laptop,High,C101,Python Basics,Programming,Beginner,45,4.6,6,46.0,84.8,3,3.5,1,3,7.3,7,2,5,62.7,78.5,75.6,3,,UPI,1,0,4388.0,100.0,5,1,3.9,1,77.78
STU100067,Male,27,Bachelor,Employed,Surat,Mobile,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,4,46.0,55.0,5,9.3,0,5,7.1,4,6,3,70.2,47.2,45.6,6,2024-10-07,UPI,1,1,4413.0,83.0,3,1,4.7,1,40.0
STU100068,Male,32,Bachelor,Student,Indore,Mobile,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,38.0,75.4,3,0.5,0,6,4.9,5,4,2,45.8,84.2,60.6,4,,UPI,1,0,4913.0,91.0,0,0,5.0,0,55.56
STU100069,Male,23,Bachelor,Student,Lucknow,Laptop,Medium,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,9,19.0,86.3,3,3.6,10,7,9.0,5,5,1,73.9,76.4,64.0,5,,Free,0,0,0.0,100.0,2,0,5.0,1,50.0
STU100070,Female,29,Bachelor,Student,Vadodara,Mobile,Medium,C108,Excel for Business,Business,Beginner,25,4.1,3,38.0,53.3,0,0.5,11,3,5.6,5,5,2,67.8,86.0,53.0,0,,Debit Card,1,0,3557.0,35.0,3,1,4.6,0,50.0
STU100071,Male,24,Bachelor,Employed,Jaipur,Laptop,Low,C108,Excel for Business,Business,Beginner,25,4.1,3,22.0,5.6,1,7.7,11,1,6.0,3,7,2,63.0,52.9,22.6,1,,NetBanking,1,0,3500.0,56.0,0,1,4.4,0,30.0
STU100072,Female,29,Bachelor,Student,Surat,Laptop,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,3,40.0,51.2,1,0.5,4,7,9.5,5,5,1,58.2,54.5,50.6,3,2024-08-10,UPI,1,0,5173.0,57.0,4,1,4.8,0,50.0
STU100073,Male,30,Bachelor,Employed,Pune,Mobile,Low,C103,Introduction to AI,Programming,Intermediate,75,4.5,2,22.0,28.6,2,0.5,0,4,5.4,5,4,2,70.7,100.0,45.0,0,,UPI,1,0,5567.0,63.0,1,0,4.7,0,55.56
STU100074,Female,27,Bachelor,Employed,Surat,Laptop,Medium,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,4,24.0,33.2,1,2.8,0,4,7.8,4,6,1,89.3,72.3,39.2,3,2025-04-07,Debit Card,1,0,6639.0,42.0,1,0,3.8,0,40.0
STU100075,Other,17,Bachelor,Employed,Lucknow,Mobile,Medium,C107,Statistics for Data Science,Math,Intermediate,50,4.2,4,28.0,49.0,6,12.3,10,4,4.8,5,5,1,80.6,59.6,50.1,4,,Debit Card,1,0,4277.0,90.0,6,0,3.1,1,50.0
STU100076,Female,36,HighSchool,Student,Bengaluru,Mobile,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,44.0,81.3,0,4.1,1,5,1.7,6,4,4,74.7,66.8,67.8,1,2024-03-02,NetBanking,1,0,4901.0,49.0,1,1,3.8,1,60.0
STU100077,Female,21,Bachelor,Student,Ahmedabad,Laptop,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,27.0,83.1,4,13.6,9,7,5.7,8,2,7,68.5,83.2,81.2,1,,NetBanking,1,0,4554.0,87.0,2,0,4.4,1,80.0
STU100078,Male,28,Master,Employed,Lucknow,Laptop,Medium,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,6,49.0,49.9,3,1.9,3,3,7.0,8,2,4,66.5,70.4,69.0,0,,Debit Card,1,0,4302.0,81.0,0,0,4.3,1,80.0
STU100079,Female,29,Master,Student,Ahmedabad,Mobile,Medium,C108,Excel for Business,Business,Beginner,25,4.1,5,31.0,96.4,3,0.8,3,3,5.6,5,5,2,73.6,54.6,66.5,3,2023-08-12,UPI,1,0,3152.0,75.0,2,2,3.7,0,50.0
STU100080,Male,32,Bachelor,Employed,Chennai,Laptop,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,4,30.0,98.1,2,8.8,3,5,4.0,5,5,2,87.8,59.0,67.3,3,2023-01-12,Free,0,0,0.0,63.0,1,0,5.0,1,50.0
STU100081,Male,41,Bachelor,Student,Vadodara,Laptop,Low,C101,Python Basics,Programming,Beginner,45,4.6,4,36.0,44.0,2,3.5,12,7,8.6,4,6,5,56.4,70.7,42.9,3,2024-11-07,NetBanking,1,0,4503.0,100.0,5,1,3.0,1,40.0
STU100082,Male,24,Diploma,Employed,Kolkata,Mobile,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,5,27.0,64.0,5,8.2,4,6,8.3,5,5,7,73.5,76.8,56.2,1,,Debit Card,1,1,2825.0,89.0,5,2,3.8,0,50.0
STU100083,Female,17,Diploma,Student,Delhi,Laptop,High,C101,Python Basics,Programming,Beginner,45,4.6,8,26.0,66.4,2,2.4,10,7,10.0,6,4,6,84.7,84.5,63.5,1,,Free,0,1,0.0,75.0,2,1,4.6,1,60.0
STU100084,Male,34,Bachelor,Self-Employed,Mumbai,Mobile,Medium,C107,Statistics for Data Science,Math,Intermediate,50,4.2,6,14.0,77.6,2,3.9,3,7,8.7,3,7,1,58.5,64.3,48.4,0,2025-04-06,Scholarship,0,0,1728.0,73.0,2,1,4.0,0,30.0
STU100085,Male,17,HighSchool,Self-Employed,Chennai,Mobile,Low,C101,Python Basics,Programming,Beginner,45,4.6,6,31.0,39.1,6,0.5,0,5,9.2,6,4,1,78.5,50.8,52.2,2,,Free,0,0,0.0,28.0,2,0,4.2,1,60.0
STU100086,Female,18,Diploma,Employed,Bhopal,Mobile,Low,C107,Statistics for Data Science,Math,Intermediate,50,4.2,3,45.0,54.6,6,0.5,3,4,4.0,4,6,4,67.6,54.1,45.8,1,,UPI,1,0,4908.0,59.0,1,1,4.0,0,40.0
STU100087,Male,27,Master,Student,Lucknow,Laptop,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,4,44.0,93.6,3,0.5,1,8,5.7,8,2,2,68.0,93.5,85.4,1,,UPI,1,0,4580.0,65.0,2,0,3.8,0,80.0
STU100088,Male,21,Master,Student,Surat,Laptop,Medium,C108,Excel for Business,Business,Beginner,25,4.1,4,46.0,52.9,5,1.9,1,10,3.3,4,6,9,74.9,62.9,45.7,4,2024-06-12,UPI,1,0,3279.0,57.0,4,1,3.5,0,40.0
STU100089,Female,25,Bachelor,Student,Bengaluru,Mobile,Medium,C108,Excel for Business,Business,Beginner,25,4.1,5,42.0,65.6,2,8.5,5,8,5.7,6,4,4,77.2,69.8,62.4,7,,UPI,1,1,2887.0,64.0,3,0,3.8,0,60.0
STU100090,Female,26,Master,Employed,Vadodara,Mobile,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,53.0,81.3,3,0.5,15,5,8.3,6,3,0,97.6,78.3,68.4,1,2024-12-12,Scholarship,0,0,1631.0,69.0,1,0,3.1,1,66.67
STU100091,Female,29,Master,Student,Indore,Mobile,Low,C108,Excel for Business,Business,Beginner,25,4.1,5,27.0,95.2,1,0.5,12,10,5.6,4,5,1,74.1,78.2,61.2,2,2024-11-12,Free,0,0,0.0,48.0,0,1,4.2,0,44.44
STU100092,Female,27,Bachelor,Student,Bengaluru,Mobile,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,5,35.0,66.7,2,2.1,1,4,10.0,2,8,3,74.0,74.1,39.1,0,2024-04-02,Credit Card,1,0,4846.0,73.0,3,3,3.7,1,20.0
STU100093,Male,24,Bachelor,Employed,Mumbai,Laptop,Medium,C107,Statistics for Data Science,Math,Intermediate,50,4.2,3,43.0,73.8,5,0.5,7,5,4.3,6,4,3,86.7,73.3,65.5,2,,Credit Card,1,0,4419.0,65.0,2,0,4.3,1,60.0
STU100094,Female,28,Bachelor,Employed,Bhopal,Laptop,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,4,5.0,38.7,2,1.4,0,6,8.2,2,8,3,72.5,59.3,28.5,2,,UPI,1,0,3472.0,45.0,1,0,4.8,0,20.0
